age,income_lakh,credit_score,loan_amount_lakh,existing_loans,approved,debt_burden,high_credit_score
28.0,12.64,613.0,8.93,3.0,1,0.7064873417721519,0
57.0,19.8,753.0,28.22,3.0,1,1.4252525252525252,1
35.0,20.54,787.0,18.94,1.0,1,0.9221032132424538,1
59.0,18.87,816.0,11.61,1.0,1,0.615262321144674,1
62.0,11.63,553.0,5.23,3.0,1,0.44969905417024936,0
32.0,3.48,625.0,11.19,3.0,0,3.21551724137931,0
56.0,23.49,779.0,11.54,3.0,1,0.49127288207747977,1
45.0,12.02,671.0,5.07,1.0,1,0.42179700499168055,0
21.0,8.22,656.0,13.54,1.0,1,1.6472019464720193,0
63.0,11.82,526.0,29.57,0.0,0,2.5016920473773263,0
39.0,8.09,556.0,9.09,0.0,1,1.1236093943139678,0
22.0,2.31,761.0,22.93,3.0,0,9.926406926406926,1
26.0,17.59,625.0,21.83,3.0,1,1.2410460488914155,0
31.0,8.55,774.0,6.2,0.0,1,0.7251461988304093,1
25.0,18.65,757.0,11.59,3.0,1,0.6214477211796247,1
23.0,3.36,478.0,20.52,3.0,0,6.107142857142858,0
31.0,1.53,796.0,16.89,1.0,0,11.03921568627451,1
53.0,20.86,513.0,23.63,1.0,1,1.1327900287631831,0
32.0,7.22,469.0,6.91,2.0,1,0.9570637119113574,0
27.0,7.74,575.0,18.88,4.0,0,2.4392764857881133,0
39.0,13.79,584.0,21.52,2.0,1,1.5605511240029006,0
48.0,13.17,641.0,19.2,2.0,1,1.4578587699316627,0
45.0,2.67,773.0,12.24,2.0,0,4.584269662921349,1
32.0,17.86,600.0,3.51,2.0,1,0.196528555431131,0
27.0,5.78,639.0,22.28,4.0,0,3.8546712802768166,0
39.0,22.41,745.0,21.28,3.0,1,0.9495760821062026,1
55.0,13.92,572.0,28.33,4.0,0,2.035201149425287,0
51.0,21.77,646.0,11.79,1.0,1,0.5415709692237023,0
39.0,6.19,485.0,11.41,3.0,0,1.8432956381260095,0
39.0,8.96,651.0,24.14,3.0,0,2.6941964285714284,0
37.0,17.34,562.0,14.01,1.0,1,0.8079584775086505,0
21.0,16.37,823.0,18.13,1.0,1,1.1075137446548564,1
44.0,9.7,816.0,7.81,1.0,1,0.8051546391752578,1
23.0,7.06,646.0,29.47,1.0,0,4.174220963172805,0
34.0,13.81,551.0,8.4,2.0,1,0.6082548877624909,0
37.0,6.33,716.0,12.06,4.0,0,1.9052132701421802,1
50.0,1.66,636.0,29.87,4.0,0,17.99397590361446,0
22.0,4.79,681.0,3.16,1.0,1,0.6597077244258873,0
41.0,8.63,484.0,25.52,0.0,0,2.95712630359212,0
28.0,11.34,725.0,8.39,2.0,1,0.7398589065255733,1
30.0,11.61,567.0,2.97,3.0,1,0.2558139534883721,0
44.0,7.73,487.0,24.83,2.0,0,3.212160413971539,0
54.0,1.83,693.0,29.73,4.0,0,16.24590163934426,0
26.0,21.26,550.0,27.04,1.0,1,1.2718720602069613,0
63.0,6.78,735.0,4.74,2.0,1,0.6991150442477876,1
34.0,1.53,787.0,26.05,3.0,0,17.026143790849673,1
50.0,2.31,840.0,27.13,1.0,0,11.744588744588745,1
60.0,13.37,688.0,28.79,2.0,0,2.153328347045625,0
22.0,20.53,765.0,8.31,2.0,1,0.40477350219191427,1
53.0,13.83,706.0,16.1,4.0,1,1.1641359363702097,1
63.0,3.24,540.0,21.13,0.0,0,6.521604938271604,0
41.0,7.28,558.0,16.13,2.0,0,2.2156593406593403,0
34.0,13.79,737.0,1.48,0.0,1,0.107324147933285,1
47.0,19.26,507.0,28.3,1.0,1,1.4693665628245067,0
55.0,18.21,753.0,15.42,2.0,1,0.8467874794069192,1
35.0,1.93,802.0,2.94,4.0,0,1.5233160621761659,1
31.0,24.62,650.0,7.66,0.0,1,0.3111291632818846,0
56.0,11.77,690.0,23.67,2.0,0,2.0110450297366187,0
25.0,7.94,505.0,14.3,2.0,0,1.801007556675063,0
44.0,23.64,472.0,8.55,4.0,1,0.3616751269035533,0
25.0,21.09,802.0,12.0,1.0,1,0.5689900426742532,1
48.0,6.01,561.0,4.87,3.0,1,0.810316139767055,0
31.0,19.91,547.0,22.31,4.0,1,1.1205424409844298,0
42.0,24.63,825.0,18.7,1.0,1,0.7592367032074706,1
56.0,16.54,541.0,10.47,2.0,1,0.6330108827085853,0
39.0,3.34,733.0,9.75,0.0,0,2.9191616766467066,1
33.0,3.38,453.0,25.08,0.0,0,7.420118343195266,0
51.0,2.42,816.0,5.87,3.0,0,2.425619834710744,1
60.0,19.14,565.0,22.54,3.0,1,1.1776384535005224,0
30.0,19.74,711.0,2.47,2.0,1,0.12512664640324217,1
33.0,9.5,573.0,11.79,4.0,0,1.2410526315789472,0
58.0,2.27,497.0,25.98,3.0,0,11.444933920704846,0
28.0,18.99,510.0,13.92,2.0,1,0.7330173775671407,0
50.0,12.01,503.0,26.11,1.0,0,2.174021648626145,0
46.0,19.76,749.0,16.22,2.0,1,0.8208502024291496,1
26.0,3.75,468.0,8.68,0.0,0,2.3146666666666667,0
47.0,18.0,460.0,3.58,4.0,1,0.1988888888888889,0
21.0,2.63,464.0,6.23,3.0,0,2.3688212927756656,0
30.0,15.02,649.0,9.42,3.0,1,0.6271637816245007,0
60.0,19.83,763.0,20.33,0.0,1,1.0252143217347454,1
31.0,8.47,641.0,10.37,2.0,1,1.2243211334120423,0
21.0,2.76,549.0,3.7,4.0,0,1.3405797101449277,0
45.0,22.09,799.0,6.26,4.0,1,0.2833861475780896,1
42.0,3.17,787.0,26.72,4.0,0,8.429022082018927,1
56.0,11.74,650.0,3.4,0.0,1,0.28960817717206133,0
62.0,11.39,637.0,9.52,4.0,1,0.835820895522388,0
39.0,17.97,490.0,10.84,2.0,1,0.6032276015581525,0
53.0,23.07,492.0,18.97,1.0,1,0.8222800173385348,0
35.0,14.18,652.0,18.71,4.0,1,1.3194640338504937,0
23.0,6.27,799.0,6.87,0.0,1,1.0956937799043063,1
59.0,5.38,847.0,9.37,3.0,1,1.7416356877323418,1
21.0,16.74,650.0,6.61,1.0,1,0.394862604540024,0
48.0,12.85,760.0,22.26,1.0,1,1.732295719844358,1
42.0,22.8,463.0,29.15,4.0,1,1.2785087719298245,0
64.0,2.4,551.0,22.42,4.0,0,9.341666666666669,0
21.0,21.93,620.0,19.62,4.0,1,0.8946648426812586,0
52.0,23.67,466.0,15.17,0.0,1,0.6408956485002112,0
48.0,8.62,530.0,2.04,4.0,1,0.2366589327146172,0
27.0,2.23,464.0,3.33,0.0,0,1.493273542600897,0
30.0,18.41,850.0,5.45,0.0,1,0.2960347637153721,1
44.0,9.05,827.0,6.96,4.0,1,0.7690607734806629,1
33.0,23.5,465.0,3.49,2.0,1,0.14851063829787234,0
52.0,3.07,806.0,13.98,4.0,0,4.5537459283387625,1
26.0,12.57,774.0,2.06,2.0,1,0.16388225934765313,1
58.0,17.97,725.0,19.34,2.0,1,1.0762381747356706,1
54.0,2.37,523.0,11.84,3.0,0,4.995780590717299,0
